Kanji,Meaning
昭,Luminous; enlightened
照,1. Illuminate    2. Examine by comparison
超,"Surpass, super-, ultra-"
越,Go beyond
趣,"1. Purport, gist, meaning    2. Flavour, distinctive charm"
赴,Proceed to
訃,Death report
朴,Simple
掛,"1. Set (on)    2. Hang, fasten"
摘,"Pick, pluck"
滴,Drop
嫡,Legitimate wife/child
適,"Fit, suit"
敵,Enemy
授,1. Confer    2. Instruct
援,"Aid, give a hand"
媛,"Damsel, young lady of noble birth"
緩,"Slack, loose"
暖,Warm
観,View
勧,"Urge, promote"
権,"1. Right    2. Power, authority"
歓,Joyous
鶴,Crane
確,"Certain, definite"
慢,1. Arrogant    2. Sluggish
漫,1. Rambling    2. Comic
卯,(sign of) The Hare
抑,Suppress
仰,Look up (to)
迎,Welcome; go out to meet
柳,Willow
卵,Egg
疎,1. Scattered    2. Estranged
速,Quick
遅,1. Slow    2. Late
辻,Crossroad
迅,Swift
加,"Add (to), join"
減,"Decrease, subtract"
滅,"Extinguish, destroy"
威,"1. Might, power; majesty    2. Threaten by force"
嚇,Intimidate
或,A certain
惑,"Bewildered, led astray"
域,"Bounded area, district"
収,"Take in, gain, seize"
納,1. Pay    2. Accept    3. Put in place
献,"Offer, donate"
貢,Tribute
貪,Covet
貰,Get
貧,Poor
賃,1. Wages    2. Charges
貸,"Lend, loan; rent out"
貨,"1. Money, currency    2. Goods"
資,"Resources, capital"
賛,1. Approve of    2. Praise
替,"Replace, substitute"
潜,1. Submerge    2. Lurk
貿,Trade
留,1. Keep in place    2. Stay; reside
溜,Accumulate
賀,Congratulate
架,Lay across
染,"Dye, stain; infect"
梨,Pear
傑,Person of excellence
貴,1. Noble; precious    2. Your honourable
潰,"Crush, break"
遺,"Leave behind, bequeath"
遣,"1. Dispatch, envoy    2. Use"
追,Chase
迫,"Press, urege; draw near"
泊,Stay overnight
伯,"1. Older sibling of parent    2. Count, earl"
拍,"Beat, rhythm"
弔,Condole; mourn
沸,Boil (over)
煮,"Boil, cook"
費,Spend
弟,Younger brother
第,Ordinal number prefix; order
剃,Shave
兄,Older brother
只,"1. Free of charge    2. Just, only; ordinary"
税,Tax
鋭,Sharp
説,"1. Explain; preach    2. Theory, view"
脱,1. Remove    2. Escape from
閲,"Review, inspect"
祝,"Celebrate, congratulate"
 況,"Conditions, state of affairs"
悦,Delighted
克,Overcome
競,Compete
姉,Older sister
妹,Younger sister
珠,Pearl
殊,Special
序,"1. Introductory part, beginning  2. Order, sequence"
秩,Order
迭,Alternate
喜,Happy
善,Good
繕,Mend
膳,"Small food table, tray"
憾,Strongly regret
恨,"Hold a grudge, resent"
惜,"Regret; begrudge, be sparing of"
措,"Dispose (of), manage"
借,"Borrow, rent"
錯,Mixed up
曽,"Before, formerly"
増,Increase
層,Stratum
憎,Hate
僧,"Bonze, priest"
贈,Present a gift
賄,Bribe
賂,Bribe
賦,"Installment, payment"
賊,Bandit
帯,"1.Belt, sash    2.Wear, have"
滞,"1. Stagnate, be left undone    2. Stay"
渋,1. Not go smoothly    2. Astringent juice (of unripe persimmons)
摂,1. Take in    2. Act as regent
為,"1. Do; act    2. Sake, benefit"
偽,"Falsify, deceive"
参,1. Participate    2. Visit a holy place; go somewhere; refer to
惨,"1. Miserable, wretched    2. Cruel"
呂,Phonetic [ro]
侶,Companion
宮,1. Royal palace    2. Shinto shrine
営,"1. Operate, manage    2. Barracks, camp"
蛍,Firefly
栄,"1. Flourish, thrive    2. Glory"
誉,"Honor, glory"
挙,"1. Nominate, cite    2. Noteworthy act    3. Raise (one's hand)"
拳,Fist
桜,Cherry
妥,Come to terms
咲,Bloom
朕,Imperial we
茎,"Stem, stalk"
径,1. Path    2. Diameter
怪,Mysterious
軽,Light
経,"1. Pass through, longitude    2. Manage    3. Sutra, scripture"
斉,"Equal, uniform"
斎,1. Observe religious abstinence    2. Study (room)
済,"1. Settle, pay back, come to an end    2. Relieve, save"
剤,"Preparation, medicine"
剖,Dissect
陪,Attend upon a superior
培,Cultivate
賠,"Compensate, indemnify"
貼,"Stick on, paste"
粘,Sticky
衡,"Balance, weigh"
換,"Exchange, replace"
喚,Call (out)
絶,"1. Break off, cut off    2. Come to an end    3. Without match"
免,"Exemption, license, escape"
逸,"Let slip, deviate from the norm"
勉,Endeaver
晩,Evening
許,"Permit, authorize"
象,"1. Phenomenon, outward manifestation; image    2. Elephant"
像,"Image, likeness"
彫,"Carve, engrave"
景,"Scene, outlook"
影,"Shadow, image, silhouette"
撮,Photograph
就,"Set about, enter upon"
涼,Cool
鯨,Whale
隔,Separate
融,1. Fuse    2. Finance
肖,Likeness
消,"1. Extinguish, disappear    2. Spend, consume"
硝,Niter
梢,Tip of a twig
削,Cut by chipping
宵,Early Evening
宴,Banquet
郷,Hometown
饗,Banquet
響,Reverberate
城,"Castle, forst"
誠,"Sincerity, truth"
盛,Prosper; heap up
旺,Flourishing
盆,1. Tray    2. Bon festival
蓋,Lid
盗,Steal
盟,"Alliance, pact"
塩,Salt
傷,"Wound, scar"
揚,"1. Raise high, exalt    2. Fry"
暢,Fluent
陽,1. Sun    2. Positive
陰,1. Shadow    2. Negative
隠,Hide
穏,1. Calm    2. Mild
穂,"Spike, head of grain"
稲,Rice plant
愁,Melancholy
裁,"1. Cut out    2. Judge, decide, rule"
載,1. Load    2. Put in print
栽,Planting
赦,Amnesty
跡,"Trace, footprint"
踪,"Trace, footprint"
痕,Scar; footprint
蹴,Kick
踊,Dance
踏,"Tread, stand on"
躍,"Leap, be active"
濯,Rinse
奇,"Unusual, odd"
寄,"1. Contribute    2. Draw near, call on"
騎,Ride on horseback
椅,Chair
崎,"Promontory, cape"
埼,"Promontory, cape"
岬,"Cape, promontory"
模,"Pattern, pattern after"
膜,Membrane
漠,1. Desert    2. Obscure
幕,"1. Curtain, tent    2. Shogunate"
墓,Grave
募,"Raise, collect"
暮,1. Dusk    2. Live
慕,Adore
添,"Add to, accompany"
恭,Respectful
暴,"1. Violent    2. Disclose, lay bare"
爆,Explode
沿,Along(side)
礎,Foundation stone
疑,"Doubt, distrust"
凝,"Congeal, grow stiff, become absorbed in"
擬,Imitate
倣,Copy after
似,Resemble
俵,Straw sack
俺,"I, myself"
庵,Hermitage
僕,"1. I, myself    2. Manservat"
撲,Deal a blow
叩,"Strike, slap"
伐,Cut down
閥,"Clique, clan"
闘,Fight
闇,Dark
閑,1. Leisure    2. Quiet
脈,1. Vein    2. Pulse
派,"1. Sect, faction    2. Dispatch"
缶,Can
揺,Shake
謡,"Popular song, chant"
遥,Far
陶,Pottery
陳,"Set forth, lay out"
陣,1. Battle formation    2. Camp
陥,Fall in/into
隆,"Prosper, rise"
降,"Descend, unload"
峰,"Peak, high mountain"
逢,Meet
縫,Sew
蜂,"Bee, wasp"
蜜,Honey; nectar
密,"1. Close, dense, tight    2. Secret"
秘,Secret
欧,Europe
枢,Pivot
殴,"Beat, thrash"
駆,Drive
馳,Gallop
騒,Clamor
旭,"Rising sun, morning sun"
旦,Dawn
但,Provided that; however
担,"1. Bear on shoulder    2. Undertake, shoulder"
亘,Span
恒,"Constant, permanent"
垣,"Fence, wall"
宣,Proclaim
喧,Clamorous
嘩,Noisy
唾,Saliva
壷,"Jar, pot"
坪,Tsubo (about 3.3 square meters)
畔,Waterside
衆,Multitude
伊,Phonetic [i]
君,1. Ruler    2. Formal title    3. You
群,"Group, crowd, flock"
郡,County
那,Phonetic [na]
邦,1. State    2. Japan
郊,Suburb
効,Effect
絞,1. Strangle    2. Wring
搾,"Squeeze, extract"
紋,Crest
菊,Chysanthemum
帝,Emperor
締,"1. Conclude, contract    2. Tighten"
諦,Give up
享,"Enjoy, receive"
郭,Outer enclosure
亭,"1. Inn, restaurant    2. Psudonym suffix"
停,Stop
昆,Insect
混,"Mix, mixed up"
皆,"All, everything, everyone"
楷,Block character style
諧,Harmony
階,"1. Floor, story    2. Rank, class"
陛,Imperial palace steps
陸,Land
睦,"Friendly, intimate"
勢,"1. Power, force    2. Condition, trend"
熱,"Hear, hot"
熟,"Mature, ripe"
塾,Private school
陵,"Imperial mausoleum, hill"
菱,Rhombus
俊,Brilliant person
唆,Instigate
筈,To be expected
箸,Chopsticks
暑,"Hot, summer heat"
署,1. Government office    2. Sign one's name
曙,Dawn
賭,Wager
諸,"Various, all kinds of"
儲,Profit
緒,"1. Outset, beginning    2. Line, thread(of events)"
翁,Old man
婆,Old woman
姿,"Figure, appearance; posture"
恣,arbitrary
妄,"Rash, outrageous"
萎,"Wilt, wither"
妻,Wife
凄,"Tremendous, terrible"
章,1. Chapter; writing    2. Badge
彰,Proclaim merits
障,Hindrance
辛,"1. Pungent, spicy    2. Hard, painful"
宰,"Preside, manage"
辣,"Sharp, bitter"
辞,"1. Word, phrase    2. Resign"
壁,Wall
璧,Magnificent jewel
癖,"Habit, quirk"
避,Avoid
幸,1. Good fortune    2. Happiness
服,1. Clothes    2. Submit
報,1. Report    2. Requite
執,"1. Execute, perform    2. Seize, hold fast to"
摯,Sincere
達,"1. Attain, reach; deliver    2. Plural suffix"
朗,"1. Cheerful    2. Clear, bright"
浪,"1. Billow, large waves    2. Roam, wander"
呉,"1. Kingdom of Wu    2. Give, do for (someone)"
娯,Enjoyment
誤,Mistake
富,Rich
副,"Secondary, subordinate"
幅,"Width, range"
福,Fortune
祉,Blessedness
禍,Calamity
渦,Whirlpool
鍋,"Pot, pan"
蘭,1. Orchid 2. Holland
欄,Column
潤,Moist
淵,1. Edge    2. Deep pool
滑,1. Slide    2. Smooth
稽,"Practice, train"
肩,Shoulder
脅,Threaten
肯,Assent
双,"Set of two, pair"
江,Inlet
湾,Bay; curve
港,Port
選,Select
択,Select
沢,"1. Swamp, marsh    2. Abundant"
訳,"1. Translate    2. Sense, meaning"
釈,1. Elucidate    2. Release
敷,Lay
傲,Proud
贅,Luxury
審,1. Examine carefully    2. Try
藩,Feudal domain
翻,"1. Turn over    2. Render in another form, translate"
翔,Soar
査,"Look into, inspect"
租,Land tax
粗,Coarse
阻,"Hamper, obstruct"
狙,Aim at
宜,"Right, suitable, good, all right"
畳,"1. Tatami, straw mat    2. Fold up"
甲,1. Shell    2. First in a series
乙,Second in a series
丙,Third in a series
柄,"1. Character    2. Status    3. Handle, grip; shaft"
押,"Push, press (down)"
抽,"Draw out, pull"
捜,Look for
届,1. Deliver    2. Reach
宙,1. Space    2. Midair
笛,Flute; whistle
袖,Sleeve
襟,Collar
衿,Collar
裾,"Cuff, hem"
据,"Set (up), place"
握,"Grasp, seize"
揃,Make uniform
撫,"Stroke, soothe"
託,Entrust
宅,Dwelling house
詫,Apologize
宇,Universe
芋,Potato
寿,1. Longevity    2. Congratulations
鋳,"Cast, mint"
銘,Inscription
鏡,1. Mirror    2. Optical instrument
境,1. Boundary    2. Situation
環,1. Ring    2. Surround
還,Return
盾,Shield
循,Circulate
巡,"Make the rounds, go around"
這,Crawl
逓,Relay
息,Breath
憩,Take a rest
鼻,Nose
孔,Open hole
臭,Bad smell
嗅,"Smell, sniff"
奥,"Inner part, depths"
尖,Pointy
突,Thrust; dash forward
窒,"1. Choke, plug up    2. Nitrogen"
窃,Steal
衝,Collide
契,Pledge
喫,Ingest
潔,Immaculate
侮,"Insult, disdain"
梅,"Japanese apricot, ume"
悔,"Repent, regret"
敏,Nimble; alert
繁,"Thrive, be busy; numerous, manifold"
繋,"Connect, tie together"
茂,Grow thick
橋,Bridge
矯,Rectify
稿,Manuscript
縞,Stripe
箋,"Writing paper, label"
残,"1. Leave behind, remain    2. Ruthless"
桟,Scaffold
銭,"Money; coin, 0.01 yen monetary unit"
践,Put into action
浅,Shallow
洩,Leak
壮,"1. Vigorous, robust    2. Grand, heroic"
荘,"1. Villa    2. Dignified, solemn"
装,"1. Dress, disguise    2. Fit out, equip"
冥,Dark
暗,Dark
韻,"Rhyme, melodious tone"
損,Loss; disadvantage
捕,"Catch, seize"
挿,Insert
補,Supplement; replenish
浦,"Seaside, small bay"
哺,Suckle
舗,1. Pave    2. Shop
掴,"Grasp, clutch"
捉,"Catch, grasp"
促,"Hasten, urge"
筆,1. Brush    2. Writing
津,"Harbor, ferry"
律,"1. Law; commandment    2. Rhythm, tone"
逮,Catch a criminal
建,Build
健,"Robust, healthy"
康,Healthy
庸,Mediocre
粛,1. Purge    2. Hushed; solemnly
繍,Embroidary; brocade
唐,Tang dynasty
糖,Sugar
粧,Apply makeup
糧,Food provisions
粉,Powder
紛,Confused
糾,Inquire into
粋,Refined
砕,Crush up
枠,Frame
酔,Become intoxicated
醒,"Wake up, sober up"
酬,"Reciprocate, recompense"
酷,"Severe, cruel"
凡,"Commonplace, mediocre"
凧,Kite
帆,Sail
汎,Pan-
恐,Fear
怖,Fearful
築,Construct
尋,"Inquire, look for"
訊,"Interrogate, ask"
諮,"Consult, ask for advice"
抗,Resist
航,Navigate
坑,Pit (of a mine)
拝,1. Worship    2. Humbly
耕,Till
耗,Wear away
崇,Reverence
灰,Ash
炭,1. Coal    2. Charcoal    3. Carbon
岸,"Shore, bank"
岩,"Rock, crag"
崩,Crumble
嵐,Storm
崖,Cliff
催,"1. Sponsor, make happen    2. Press for"
焦,1. Scorch    2. Be impatient
礁,Reef
奮,Rouse up
奪,"Seize, rob"
隻,1. One of a pair    2. Counter for ships
獲,Catch game
穫,Harvest
護,Protect
譲,"Cede, yield"
嬢,Young lady
醸,Brew
壌,Arable soil
壊,Break down
懐,"1. Bosom, embosom    2. Long for"
徳,Virtue
聴,Listen
恥,Shame
羞,Shame
爵,Rank of nobility
侯,Feudal lord
喉,Throat
候,"1. Season    2. Seaonal weather, sign"
修,"1. Cultivate (oneself), study    2. Repair"
悠,"Leisurely, serene"
是,"Right, correct"
提,"1. Present, offer    2. Carry in hand"
堤,Embankment
題,"1. Heading, headline    2. Topic    3. Problem"
匙,Spoon
冒,"Risk, defy"
昌,"Clear, bright"
唱,"Sing, intone"
晶,Crystal
帽,Headgear
棟,"Building, ridgepole"
凍,Freeze
氷,Ice
永,"Eternal, long"
泳,Swim
詠,Recite poetry; compose poetry
札,"Tag, label"
枚,Counter for flat things
杯,Cup
析,Analyze
折,"1. Break (off)    2. Fold, bend"
挫,"Break, sprain"
捻,Twist
誓,"Swear, vow"
逝,Depart this life
哲,1. Wise    2. Philosophy
斬,"Kill, cut down"
漸,Gradually
暫,Short while
斥,Reject
訴,"1. Appeal to    2. Sue, complain"
訟,Litigate
究,Study exhaustively
窮,Pushed to the limit
極,1. Extreme    2. Pole
函,Box
探,"1. Probe, explore    2. Look for"
深,Deep
慄,"Tremble, shudder"
惧,Fear
慎,"Prudent, discreet"
鎮,"Quell, appease"
塡,Fill (in)
婚,Marry
囚,Prisoner
困,Be in trouble
梱,"Package, bale"
因,Cause
姻,Marriage
咽,Throat
恩,"1. Grace, favor    2. Debt of gratitude"
菌,"Bacteria, germ, fungus"
漢,"1. (ancient) Chinese; Han dynasty    2. Fellow, man"
嘆,"Sigh, lament"
勤,"Service, work, employment"
謹,"Respectfully, carefully"
僅,"A few, little"
索,Search for
牽,Pull
牢,1. Prison    2. Hardness
啓,1. Enlighten    2. Address respectfully
庶,Manifold
遮,"Interrupt, cut off"
燕,"Swallow, martin"
雀,1. Sparrow    2. Mahjong
劣,Inferior
抄,"Excerpt, select"
秒,Second
妙,"Marvelous, wonderful, strange"
沙,Sand
汰,Sift out
煎,"Boil, roast"
炒,"Roast, parch"
炊,Cook
焚,"Kindle, build a fire"
薪,Firewood
乃,Possessive particle
之,Possessive particle
此,This
其,That
乏,"Scanty, poor"
芝,Lawn grass
及,"Reach to, extend to; be equal to; as well as, and"
扱,"Handle, treat"
級,"Grade, rank"
吸,1. Suck    2. Breath in
吹,"Blow, breathe out"
呼,"Call, send for"
吐,"Spew, vomit"
叶,"Be fulfilled, fulfill, grant"
叱,Scold
叫,Shout
吟,Recite
含,"Contain, include"
琴,Koto (Japanese zither)
迷,"Perplexed, lost"
謎,"Riddle, enigma"
逆,"Reverse, contrary"
遡,"Go back in time, go upstream"
塑,"Model, mold"
勲,Meritorious service
薫,"Balmy, fragrant"
芳,Fragrant
香,Sweet smell
秀,Excellent
誘,"Induce, invite"
拐,Kidnap
透,"1. Pass through    2. See-through, transparent"
携,"Carry in hand, join hands"
雄,1. Male    2. Heroic
雌,Female
些,A little bit
柴,"Brushwood, firewood"
紫,Purple
髪,Hair
髭,"Beard, mustache"
詐,Swindle
欺,Deceive
棋,Shogi (Japanese chess)
碁,Go (Japanese checkers)
甚,Extremely
勘,"1. Check, consider    2. Intuitive perception"
堪,"Endure, tolerate"
匹,Counter for animals
匠,Craftsman
匿,Conceal
諾,Consent
乞,Beg
迄,"Up to, until"
乾,Dry
幹,Trunk
操,1. Manipulate    2. Fidelity
燥,Dry out
繰,"1. Reel, spin    2. Shift onward"
藻,"Sea weed, algae"
噴,"Spout, gush out"
墳,Tumulus
憤,Indignation
牙,"Fang, tusk"
芽,Bud
雅,Elegant
邪,Evil
既,"Already, previous"
概,"General, rough"
慨,Deplore
苗,Seedling
描,Depict
猫,cat
萌,"Germinate, sprout"
兆,"1. Sign, omen; show signs of    2. Trillion"
眺,Gaze
逃,Escape
桃,Peach
跳,"Jump, leap"
挑,"Provoke, challenge"
拙,Clumsy
屈,"Bend, submit to"
掘,Dig
堀,Ditch
封,"1. Seal, enclose    2. Enfeoff"
筒,Tube
管,1. Pipe    2. Exercise control
棺,Coffin
轄,Exercise jurisdiction over
洞,Cave
窟,Cave
淫,Lewd
妊,Become pregnant
娠,Conceive
唇,Lip
辱,Humiliate
襲,1. Raid    2. Inherit
伏,"Prostrate, turn over"
吠,"Howl, bark"
噛,"Bite, chew"
班,Squad
斑,"Spot, speck"
輩,Fellow
悲,Sad
忽,"1. Suddenly, at once    2. Careless"
惚,Fall in love with; grow senile
猿,"Monkey, ape"
哀,1. Sorrow    2. Pity
衰,"Decline, degenerate"
衷,Inner heart
喪,1. Mourn    2. Loss
忌,1. Mouring    2. Abhor
卓,1. Table    2. Prominent
悼,Mourn
貞,Chaste
偵,Spy
覇,"Supremacy, domination"
覆,"1. Cover, conceal    2. Overturn"
履,1. Fulfil    2. Put on footwear
属,Belong to; be subordinate to
嘱,Charge with
偶,1. By chance    2. Couple
隅,Nook
隙,"Crevice, space, spare time"
遇,"1. Treat, receive    2. Encounter"
愚,Foolish
曹,Sergeant
遭,"Meet with, encounter"
槽,"Tub, tank"
妨,"Hinder, obstruct"
坊,1. Sonny boy    2. Colloquial person suffix
傍,Beside
於,"At, in, on"
房,"1. Chamber    2. Tuft, tassel"
扇,Fan
扉,Hinged door
雇,Employ
顧,Look back (on); take into consideration
屑,"Scraps, scum"
糞,"Droppings, shit"
尿,Urine
泌,Secrete
尻,Buttocks
炉,Furnace
窯,Kiln
釜,"Iron pot, cauldron"
爺,"Old man, grandpa"
窪,"Sink, cavity"
佳,"Fine, beautiful"
涯,"Far end, outer limits"
暇,Free time
霞,"Mist, haze"
雰,Atmosphere
霧,Fog
露,1. Dew    2. Expose
霜,Frost
箱,Box
籍,Register
貫,"Penetrate, pierce through; carry out"
慣,Habitual practice
頂,"1. Summit    2. Receive humbly, eat"
戴,Receive humbly
項,Clause
頃,1. Time    2. About
傾,"Incline, lean"
頑,Stubborn
頒,Distribute widely
頓,"Suddenly, immediately"
顕,Manifest
領,Dominion
頻,"Repeatedly, frequently"
捗,Make progress
順,"1. Order, sequence    2. Obey"
馴,"Become tame, get used to"
訓,"Instruct, admonish"
須,"Must, absolutely necessary"
額,1. Amount    2. Picture frame    3. Forehead
頼,1. Rely on    2. Ask
瀬,"Shallows, rapids"
峡,Gorge
狭,"Narrow, tight"
挟,"Hold between, pinch"
頰,Cheeks
顎,"Jaw, chin"
煩,Vexing
串,Skewer
患,Affected by disease
疾,1. Disease    2. Fast
痴,1. Stupid    2. Infatuated
疫,Epidemic
痢,Diarrhea
痘,Small pox
瘍,"Ulcer, boil"
癌,Cancer
痩,Become thin
疲,Tired
被,Be subjected to; be covered in
被,"Open out, reveal"
抜,1. Pull out    2. Stand out/above
控,"Hold back, deduct; note, memo"
扶,Lend support to
抹,"Wipe, erase"
拓,Open up (farmland or new frontiers)
拷,Torture
楼,Tall building
壇,"Platform, rostrum"
塔,"Tower, pagoda"
搭,Load on board
寡,1. Few    2. Widow(er)
賓,Guest
飾,Decorate
飽,Satiated; tired of
餓,Starve
飢,Starve
机,Desk
冗,"Redundant, superfluous"
冠,Crown
離,Separate
胸,Chest
悩,"Suffer, be troubled"
脳,Brain
臓,Internal organs
胃,Stomach
炎,"1. Flame    2. Inflammation, -it is"
談,"Talk, converse"
淡,"Light, faint"
災,Natural calamity
肝,Liver
肺,Lung
胆,Gall bladder
腺,Gland
胞,Membranous sac
腸,Intestines
胎,1. Womb    2. Fetus
腰,Waist
肘,Elbow
膝,Knee; lap
股,"Crotch, thigh"
肢,Limb
胴,"Trunk, torso"
脇,1. Armpit    2. Aside
脂,Fat
詣,Visit a temple
肪,Animal fat
肌,Skin
膚,Skin
慮,Consider
虐,"Cruel, tyrannical"
虞,"Risk, fears"
劇,Drama
虚,"1. Empt, void    2. False"
虜,Captive
勇,Brave; in high spirits
湧,"Well up, gush out"
戯,"Sport, play"
繊,1. Fine    2. Fiber
緻,Fine
嘘,"Lie, fib"
噂,"Rumor, gossip"
樽,Barrel
距,Distance
拒,"Refuse, reject"
嬉,Glad
鼓,Drum
樹,Standing tree
膨,Expand
脹,Swelling
張,"1. Spread (out), extend (over)    2. Strain, stretch"
帳,"Notebook, curtain"
腫,"Tumor, swelling"
肥,Fatten
把,Grip
誇,Boast
覧,"Look over, view"
監,Oversee
鑑,1. Appraise    2. Refer to
艦,Warship
濫,Excessive
藍,Indigo
賢,"Wise, intelligent"
腎,Kidney
堅,"Firm, solid"
緊,1. Tighten    2. Exigent
勃,Suddenly rising
励,Work hard; urge on
栃,Horse chestnut (tree)
茨,"Briar, thorn"
羨,Envious
歳,1. Year    2. -years old
戚,Kin
叔,Younger sibling of parent
淑,"Graceful, refined"
寂,"Lonesome, desolate; elegant simplicity"
督,1. Supervise; urge on    2. Commander
奴,1. Slave    2. Guy
努,Exert
怒,Angry
隷,Underling
款,"1. Article, subsection    2. Friendly relations"
殻,"Husk, shell"
穀,"Grain, cereal"
臼,Mortar
毀,"Break, chip"
廉,1. Honest    2. Cheap
鎌,Sickle
嫌,Dislike
謙,"Humble, modest"
遜,"Humble, modest"
亀,Turtle
練,"Train, drill"
錬,Refine; train
鍛,Forge; train
鉱,1. Ore    2. Mine
銅,"Copper, bronze"
鉛,Lead
銑,Pig iron
鋼,Steel
剛,"Tough, strong"
綱,1. Rope    2. Main points
網,Net
縄,Rope
鉢,Bowl
鎖,Chain
絆,"Bonds, fetters"
鍵,Key
釘,Nail
錮,Lock down
錠,1. Lock    2. Pill
綻,Come apart at the seams
鈴,Bell
鐘,Bell
瞳,Pupil (of the eye)
憧,Yearn after
憬,Yearn after
卑,"Mean, despicable"
碑,Monument
痺,Paralysis
鬼,"Demon, ghost"
塊,"Lump, mass"
醜,Ugly
魂,"Soul, spirit"
魅,Charm
魔,"Demon, devil"
畏,Fear
刷,Print
擦,"Rub, chafe"
摩,Rub against
磨,Polish
凹,Concave
凸,Convex
奉,"Dedicate, offer"
奏,Play music
泰,Tranquil
俸,Salary
棒,"Rod, stick"
捧,Offer respectfully
耐,"Withstand, endure"
霊,"Spirit, soul"
需,"Demand, need"
濡,Wet
儒,Confucianism
端,"Edge, extremity"
壱,One (in legal documents)
尼,Buddhist nun
泥,Mud
漏,Leak
氾,Flood
彙,Catalog
某,A certain
謀,"Scheme, plot"
媒,Mediate
尉,Officer
慰,"Console, cheer up"
酪,Dairy products
酵,Ferment
醤,Soy sauce; salted/fermented food
酢,Vinegar
酎,Shochu (Japanese distilled liquor)
酌,Pour wine
釣,Angle
畜,(Raise) Livestock
蓄,Store up
玄,"Profound, occult"
眩,Dazzling; dizzying
呟,Mutter
囁,Whisper
喋,"Speak, chat"
喩,Liken
鬱,"1. Depression, gloom    2. Congested, pent up"
弦,String (of a bow or musical instrument)
舷,Gunwale
舵,"Rudder, helm"
幻,"Phantom, illusion"
幽,Quiet and secluded; deep hidden
幼,Very young
稚,Child
維,Fiber; hold together
推,1. Infer    2. Push forward
堆,Pile up
椎,1. Spine    2. Chinquapin
脊,Spine
雛,"Chick, doll"
誰,Who
唯,"Merely, only"
鳴,"1. Cry, chirp    2. Sound"
亥,(sign of) The boar
刻,"1. Engrave, carve    2. Point in time"
劾,Expose crimes
核,"Nucleus, core"
骸,Body; skeleton
咳,Cough
該,Correspond to
診,Examine a patient
珍,"Rare, curious"
瓦,"Tile, brick"
併,Put together
瓶,"Bottle, jar"
屏,"Fence, folding screen"
塀,"Fence, wall"
餅,Rice cake
餌,1. Feed    2. Bait
呑,"Swallow, gulp"
沃,Fertility
妖,Bewitching
呪,"Charm, curse"
艶,"1. Charming, voluptuous; glossy    2. Romance"
慈,"Affectionate, compassionate"
滋,Nourish
磁,Magnetism
擁,"Embrace, protect"
腐,"Rotten, decay"
芯,"Core, wick"
蒔,"Sow, scatter"
撒,Scatter
撤,Withdraw
徹,Go through (with)
微,"Slight, minute"
徴,"1. Levy, impose    2. Sign, symptom"
懲,Chastise
殆,"Almost; quite, really"
后,Empress
垢,Dirt
妃,(married) Princess
姫,Daughter of noble birth
如,"As (if), like"
茹,Boil
婿,Son-in-law
娘,1. Daughter    2. Girl
嫁,1. Wed a man    2. Bride
稼,"Work, work for a living"
塚,"Mound, hillock"
豪,1. Great man    2. Magnificent
蒙,"1. Ignorance, darkness    2. Phonetic [mou]"
墾,Clear land for farming
懇,"1. Familiar, intimate    2. Earnest"
貌,"Appearance, form"
逐,1. Drive out    2. One by one
遂,"Accomplish, carry out"
墜,Drop down
堕,"Degenerate, descend"
随,Follow
附,"Attach, be attached to, hand over"
髄,Marrow
怠,"Idle, remiss"
惰,Lazy
佐,1. Assistant    2. Field officer
玩,Play with
弄,Play with
嘲,Ridicule
奔,"Rush, run"
弊,Evil practice
幣,1. Currency    2. Shinto paper offering
蔽,Cover
朋,Comrade
棚,Shelf
柵,"Fence, palisade"
桁,"1. Digit    2. Beam, girder"
栓,"Stopper, spigot"
詮,Inquiry
塞,"Plug up, obstruct"
梗,Block
柿,Persimmon
藤,Wisteria
騰,"Rise, jump up"
謄,"Transcribe, copy"
麺,Noodles
拉,Kidnap; pull
晃,Dazzling
幌,"Awning, hood"
厘,Rin (0.001 yen)
畝,Ridge (1 are or 100 sq meters)
匁,Monme (3.75 grams)
匂,"Smell, fragrance"
勾,"Bent, sloping"
挨,Greet
拶,Greet
曖,Not clear
昧,Dark
瑠,Lapis lazuli
璃,Glassy substance
嫉,Envy
妬,Envy
鹿,Deer
塵,"Dust, trash"
麓,Foot of a mountain
麗,Of graceful beauty
薦,Recommend
慶,"Felicitation, rejoicing"
兜,Helmet
睨,Glare at
鼠,"Rat, mouse"
溺,"Drown, indulge in"
潟,Lagoon
濁,Turbid
渇,1. Run dry    2. Thirst
褐,Brown
葛,"Kudzu, arrowroot"
喝,Shout at
謁,Be granted an audience
掲,"Put up, display"
戌,(sign of) The dog
尤,"Reasonable, plausible"
駄,1. Good for nothing    2. Clogs
駒,"1. Horse, pony    2. Chess piece"
篤,1. Serious    2. Kind
罵,Speak ill of
蔑,Scorn
罠,Trap
烏,Raven
鴨,Duck
鳩,Pigeon
鶏,Chicken
渓,Ravine
鷹,Hawk
鷲,Eagle
璽,Imperial seal
爽,Refreshing
綴,1. Stitch together    2. Compose
桑,Mulberry
蚕,Silkworm
蛋,Egg
蟹,Crab
蚊,Mosquito
巳,(sign of) The serpent
蛇,Snake
繭,Cocoon
蝶,Butterfly
虹,Rainbow
